买来送人，以为是进口的，没想到中国制造，有中文，无法送人，自己用吧。	4	2
家里用的这款面膜，用完了，正好赶上搞活动，买了很多，和妈妈一起用，很喜欢，补水效果也很好。就是之前一直用完了就洗脸，看了说明才知道原来不用洗脸	10	0
不错	10	0
货已收到，刚做了一片面膜试试，不太好水液体很少	4	2
这一款细致毛孔的效果比较明显，因此每次洗完脸做完去角质之后呢，再敷上这样一款面膜，皮肤就感觉到很紧致了。当然我是放在冰箱里的，需要的时候就取出来用一片。	4	0
面膜超级好用，屯了好多，看到便宜还是想买，用完以后毛孔真的变小了，超级好用好用好用	4	0
挺好的适合肤质干皮混合	10	0
产品非常贴合，洗完脸之后用非常舒服。使用过后都觉得皮肤很水嫩，润肤水。补水效果比一般的面膜要好适合肤质比较适合干皮，或者是混合型皮肤。	1	0
收到的时候包装是这个样子的，都破掉掉，影响心情	1	2
敷料质感挺好的使用感受补水效果挺好的。干性皮肤没问题，其他肤质不知道咋样哈补水效果补水效果很好，用完水水的。很贴合哦。价格实惠，评价面膜很不错哦。	2	0
扫描了下是真品，就是价格上比扫描出来的贵的多	3	1
京东活动大力囤货，很优惠的价格，值得信任的品牌，面膜纸很服帖，很水润，很满意的一次购物	4	0
这款面膜用了很长时间，蓝色的是用来保湿的，绿色的是茶树的，因为是敏感肌，所以用来缓解皮肤不良状态的。秋冬季节干燥，没有面膜真的不行阿补水效果很好，我这个特别容易过敏的皮肤也没有过敏。好评	8	0
昨晚下的单今天中午就收到快递很赞包装也还好还没用不知道怎么样	7	0
黑炭吸附效果令我满意，敷完面膜，轻轻按摩，鼻头的粉刺黑头随之出来，补水美白，敷完面膜白了一度，十分惊喜，以后会继续回购	3	0
东西不错	10	0
特别不好用，刺激	8	2
买了五大盒，很不错，京东放心	5	0
买了好几次这个面膜了，补水效果挺好的	10	0
还没使用，希望不会过敏	3	1
用了好久这个产品这次买来用了起满脸的红疙瘩确定是假货	1	2
膜很粗糙很厚，没有以前用的质量好	1	2
精华液多，剩余的能涂脖子，手使用感受干性，混合性皮肤滋润不腻适合肤质干性，混合性皮肤适用，如果是偏油性肌肤就会感觉有点腻补水效果不错，敷完感觉有光泽贴合效果非常贴合其他特色面膜纸厚，非常有弹性	2	0
一般面膜纸张有点厚精华很少以后不会在考虑买这个了	2	1
外包装损坏严重，面膜都快掉出来了，收到这样的货，很糟心，物流太粗糙了。	3	1
一直使用美迪惠尔，第一次在网上购买，优惠力度很大哦，很补水	7	0
绝对是假的	8	2
好用，每次用了都觉得脸色好看很多	6	0
收到外包装都是拆封过的，不知道是不是退货心里很不爽一直很相信京东的，这次让我很失望两颗心是给快递小哥的。	7	1
双十一买的，性价比超高，用这款面膜时间不短了，特别是冬天干燥气候下用的很舒服，用完水水嫩嫩的，还特别贴肤，补水效果非常不错。	4	0
太干了	7	2
这个面膜对痘痘肌肤适用，不腻，很清爽，精华液也很多，也不油	8	0
没啥效果	4	1
那个蓝色补水的不好，敷完满脸的油，还有一层蜡，用了三天，皮肤发黄。这款稍微好点，但也并不满意，后悔各买两盒，以后打算换牌子了。总之不会再买这个品牌	3	1
不知道使用的结果	14	0
这个面膜我买了好多款以后用好了再来评价吧	2	1
回购好几次了	10	0
还没用，开箱包装就是破的。	2	2
美迪惠尔面膜是值得推荐的，面膜很贴服，精华液多，价格也实惠。包装也很有档次，平时出行或日常使用佳选，个人习惯敷完还用清水洗一洗。	2	0
差评，慎拍，精华液少得可怜，一下子就干了	8	2
感觉上当了还是别买	2	2
水分较少，质量很好，面膜较厚。	7	1
不怎么样，眼睛那的洞很大，都扯到太阳穴了，用完感觉一般。以后不会买了。	2	1
没收到货，却已签收，什么情况	1	2
送过来的封条都拆了换了两次都是这样	1	2
包装太简陋，不像真的	7	2
非常满意，商家服务态度好发货快，快递员也很好，	9	0
产品还没用，但是破损成这样，也是呵呵。	4	2
当时优惠买了四盒，现在已经快一盒干完了我还是属于比较懒得那种），每次敷完面膜都觉得自己白了好多，哈哈哈哈，不知道是不是错觉，挺好用的，也没什么过敏症状贴合效果很贴合补水效果里面精华很多，一只手都兜不住，效果挺好的，敷完脸白白嫩嫩的	1	0
不好用，不好贴，水分少，不要贪小便宜	2	2
对敏感肌友好上脸不刺痛，吸收快产品质感温和，不刺痛适合肤质敏感肌干皮今天用的是美迪惠尔家的燕窝蛋白弹力面膜，上脸不刺痛，对我的皮肤友好，打开独立包装后面膜精华液是白色的，看起来比较粘稠，不过上脸挺舒服的，现在大约敷了五分钟左右吸收的挺快的，宝子有机会一定要体验一下	10	0
最近感觉脸特别干就赶紧买了这个面膜，连用三天后明显感觉好多了，很水润很有光泽，要坚持使用	3	0
不知道怎么样用用看看	4	1
面膜很服帖，营养液也很多。敷完以后不黏腻，直接用护肤品都可以，第一次用感觉还不错，期待长久用的效果。	4	0
嗯还不错，精华液够多，茶树的舒缓功能没怎么感觉到，面膜纸还比较薄，贴脸上很服帖	8	0
朋友推荐的实体店比较贵在京东购买便宜很多薄薄的膜很服帖敷完面膜觉得脸上水嫩嫩的，不油腻补水急救首选便宜用起来也不会心疼了	5	0
用好多回这个面膜了，保湿效果杠杠的，精华液也蛮多的，希望皮肤越用越好。	3	0
不是正品，包装是打开的	1	2
外包装都已经摔变形了，发货的时候就没想着用小纸箱包装吗只是用个薄薄的购物袋一装	3	1
这款精华太少了，面膜拿出来有点干	2	1
真的垃圾不知道为什么我用了之后反而更黑了，心态崩了，京东的东西现在也太垃圾了吧，垃圾啊	3	2
一般吧感觉，不知道是不是正品。	2	1
好用	14	0
包装箱都没有面膜被晒的烫烫的，真的是服，就一口袋装着，压的扁扁的，快递挺快的	4	1
纸薄如水，第一次用这款面膜，希望补水保湿效果不错，双十一购物狂欢节期间买盒折，价格非常实惠，味道很香，水分充足，总体满意，朋友想再买已经没有这么优惠了，等双十一再买点，秋冬天需要必备神器，贴合脸部肌肤	7	0
很不错的产品，这个价格能买到这么好的产品，真的很划算。	6	0
京东购物就是方便省时省心又省力，质量售后都不错。	10	0
不像之前买的面膜一点不服帖面膜纸很硬不怎么好	7	2
面膜很好用，买了好几次了	6	0
效果不错一直在回购的	14	0
活动买的，实惠。就是京东快递，只有一小部分快递，会帮忙送货上门，一大部分快递，都不送货上门，这对买家如果买了大件商品，好麻烦的啊，而且货到付款的，不能刷卡，只能微信之类的。这两点要吐槽。	7	1
直接差评，快递都没收到就降价，客服太度很不满意	3	2
以前用过蓝色的那款经典款很喜欢这个品牌，这回正好有优惠就想试试这款看看怎么样，赶上活动买的很合适同时买了四盒，用好再来追评吧	6	0
这个品牌分不同系列的产品，补水保湿，美白淡斑，维生素，抗氧化等等我钟爱黑面膜，因为补水保湿效果非常好，每天晚上睡觉前一片，缓解肌肤疲劳，效果不错	3	0
挺好用的，活动价买的也合算，精华很多用完水水嫩嫩的	4	0
还不知道怎么样没有过等用了再说吧	3	1
东西不错第二天就便宜了元不划算	5	2
还行吧，便宜，效果暂时也看不出	9	0
这次活动真的太划算了，让人心动买的停不下来，这次前后一共买了盒面膜，想着夏天皮肤容易受损，贴的费一点，所以就多囤一些，包装的很完美，服务态度好，物流快，下次继续，京东值得信赖	3	0
不错，一直购买的品牌。	10	0
使用感觉很不错，经常用	9	0
同一家店买到不同品质的面膜，上次购买的的面膜精华多而且面膜特别贴合，这次又购买同类面膜竟然使用感受不一样，面膜纸裁剪粗糙，尤其是眼部特别大，而且面膜不贴合，精华液特别粘手，不得不怀疑是真假混着卖	8	1
为何每次买的面膜质量都不一样，精华少的可怜	2	2
一般般的感觉	4	1
很好用的一款面膜，味道清新淡雅，用后肌肤舒适感十足的，滑滑的嫩嫩的滑滑的嫩嫩哒，很好用的产品推荐哦，有活动的时候很适合你囤货哦	9	0
有点小，要是胖子的脸都顾不住	4	2
一点不好。一点都不好	3	1
回购好多次了。每次都是赶上满减了下单，拍两盒。最近感觉，好像每次给我发过来的两盒，总是一盒好用，另一盒怪怪的。其中一盒的面膜纸厚度均匀，有质感，另一盒的面膜纸稀稀拉拉，甚至都不成型。不知道其中是不是有好坏掺卖的嫌疑，除了第一次两盒都比较好用，所以我才会回购，之后的两三次好像都是我上面说的这种情况。	2	1
配送员人很好。只是这货是不是正品啊，我怎么用了会过敏哈。	4	1
首先活动价真的很划算。面膜本身也挺好用。本人不是痘痘肌，但T区油，大夏天的茶树这个绿色就让人感觉比较清爽，当然贴起来也不会凉或者有刺激的感觉什么的。茶树味道真的很喜欢，控油补水效果也很好。京东物流很快，包装完好。	8	0
面膜很服帖，营养液也很多。敷完以后不黏腻，直接用护肤品都可以，第一次用感觉还不错，期待长久用的效果。	8	0
面膜补水效果很好，敷完脸上很舒服	6	0
一次性买了盒，种功效的这个品牌我是喜欢的，也一直用。朋友们可以放心购买，补水效果很好，我觉得护肤最主要就是清洁补水防晒推荐推荐	2	0
很便宜，效果没感觉	5	1
一直用他家的这个，很好用，京东快递很快，物美价廉	6	0
之前用的用着感觉面膜很丝滑很服帖，这次的面膜感觉很垃圾不服帖而且很粗糙。严重怀疑是假货	7	2
快递很快，面膜有一盒被打开，包装很差劲，还好没丢，不知道效果如何	1	1
包装很好，面膜质感也不错使用感受精华液量很多，敷完面膜以后皮肤都好有弹性哦适合肤质个人觉得干性和混合型肌肤都适合用这款面膜吧补水效果很好的补水效果，比一般面膜更保湿，水润贴合效果适合大多数人的脸型，更标准一点其他特色物美价廉，比超市实体店买的更便宜，划算，一次很满意的购物	2	0
包装里面都跟网上一样，但是快递员不耐烦的催促我忍了，拆开快递后我的面膜包装为什么会烂成这样	8	1
东西我很喜欢，到时收缩毛孔效果一般般。用着很舒服，皮肤有没变好不知道，因为我皮肤本来就不错。	4	0
感觉假的，用了不舒服，还是买国货面膜吧一叶子真的不错。	1	2
面膜效果一般，快递比较不错	3	1
